authority_key,landing_url,verification_date,verification_status
agrigento,https://prefettura.interno.gov.it/it/prefetture/agrigento/evidenza/white-list,2026-09-06,verified
alessandria,https://prefettura.interno.gov.it/it/prefetture/alessandria/evidenza/white-list,2026-09-06,verified
ancona,https://prefettura.interno.gov.it/it/prefetture/ancona/evidenza/white-list,2026-09-10,verified
aosta,https://www.regione.vda.it/prefettura/Antimafia/white_list/informazioni_e_modulistica_i.aspx,2026-09-10,verified
arezzo,https://prefettura.interno.gov.it/it/prefetture/arezzo/iscrizione-white-list,2026-09-10,verified
ascoli-piceno,https://prefettura.interno.gov.it/it/prefetture/ascoli-piceno/elenco-iscritti-white-list,2026-09-10,verified
asti,https://prefettura.interno.gov.it/it/prefetture/asti/white-list-provinciali,2026-09-10,verified
avellino,https://prefettura.interno.gov.it/it/prefetture/avellino/evidenza/white-list,2026-09-06,verified
bari,https://prefettura.interno.gov.it/it/prefetture/bari/evidenza/white-list,2026-09-10,verified
barletta-andria-trani,https://prefettura.interno.gov.it/it/prefetture/barletta-andria-trani/white-list-elenco-imprese-iscritte,2026-09-11,verified
belluno,https://prefettura.interno.gov.it/it/prefetture/belluno/evidenza/white-list,2026-09-10,verified
benevento,https://prefettura.interno.gov.it/it/prefetture/benevento/white-list,2026-09-06,verified
bergamo,https://prefettura.interno.gov.it/it/prefetture/bergamo/evidenza/white-list,2026-09-11,verified
biella,https://prefettura.interno.gov.it/it/prefetture/biella/evidenza/white-list,2026-09-10,verified
bologna,https://prefettura.interno.gov.it/it/prefetture/bologna/evidenza/white-list,2026-09-06,verified
bolzano-bozen,https://prefettura.interno.gov.it/it/prefetture/bolzano/evidenza/white-list,2026-09-12,verified
brescia,https://prefettura.interno.gov.it/it/prefetture/brescia/evidenza/white-list,2026-09-12,verified
brindisi,https://prefettura.interno.gov.it/it/prefetture/brindisi/evidenza/white-list,2026-09-11,verified
cagliari,https://prefettura.interno.gov.it/it/prefetture/cagliari/evidenza/white-list,2026-09-11,verified
caltanissetta,https://prefettura.interno.gov.it/it/prefetture/caltanissetta/evidenza/white-list,2026-09-11,verified
campobasso,https://prefettura.interno.gov.it/it/prefetture/campobasso/evidenza/white-list,2026-09-11,verified
cosenza,https://prefettura.interno.gov.it/it/prefetture/cosenza/evidenza/white-list,2026-09-06,verified
crotone,https://prefettura.interno.gov.it/it/prefetture/crotone/evidenza/white-list,2026-09-11,verified
genova,https://prefettura.interno.gov.it/it/prefetture/genova/evidenza/white-list,2026-09-06,verified
lodi,https://prefettura.interno.gov.it/it/prefetture/lodi/evidenza/white-list,2026-09-06,verified
milano,https://prefettura.interno.gov.it/it/prefetture/milano/evidenza/white-list,2026-09-06,verified
napoli,https://prefettura.interno.gov.it/it/prefetture/napoli/evidenza/white-list,2026-09-06,verified
padova,https://prefettura.interno.gov.it/it/prefetture/padova/white-list,2026-09-06,verified
parma,https://prefettura.interno.gov.it/it/prefetture/parma/evidenza/white-list,2026-09-06,verified
pesaro-e-urbino,https://prefettura.interno.gov.it/it/prefetture/pesaro-urbino/white-list-elenco-imprese-iscritte,2026-09-10,verified
pistoia,https://prefettura.interno.gov.it/it/prefetture/pistoia/evidenza/white-list,2026-09-06,verified
potenza,https://prefettura.interno.gov.it/it/prefetture/potenza/evidenza/white-list,2026-09-06,verified
roma,https://prefettura.interno.gov.it/it/prefetture/roma/evidenza/white-list,2026-09-06,verified
sassari,https://prefettura.interno.gov.it/it/prefetture/sassari/evidenza/white-list,2026-09-06,verified
torino,https://prefettura.interno.gov.it/it/prefetture/torino/evidenza/white-list,2026-09-06,verified
trento,https://prefettura.interno.gov.it/it/prefetture/trento/evidenza/white-list,2026-09-06,verified
udine,https://prefettura.interno.gov.it/it/prefetture/udine/evidenza/white-list,2026-09-10,verified
