source_series_key,authority_key,regime_code,population_scope,sector_scope,publication_model,series_url,resource_resolution_status,verified_date,notes
agrigento-applicants,agrigento,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/agrigento/evidenza/white-list,landing_page_resolved,2026-09-10,Current official landing page directly re-verified 10 September 2026; it exposes the applicant PDF explicitly dated 4 September 2026. Exact source identity and maximal logical-row boundary are documented in docs/sources/agrigento-operational-check-2026-09-10.md.
agrigento-listed,agrigento,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/agrigento/evidenza/white-list,landing_page_resolved,2026-09-10,Current official landing page directly re-verified 10 September 2026; it exposes the listed-company PDF explicitly dated 4 September 2026. Exact source identity and parser boundary are documented in docs/sources/agrigento-operational-check-2026-09-10.md.
alessandria-applicants,alessandria,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/alessandria/evidenza/white-list,landing_page_resolved,2026-09-09,Current live official surface exposes the applicant PDF dated 4 September 2026; exact resource hash and row counts are recorded in docs/sources/alessandria-operational-check-2026-09-09.md.
alessandria-listed,alessandria,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/alessandria/evidenza/white-list,landing_page_resolved,2026-09-09,Current live official surface exposes the listed-company PDF dated 4 September 2026; exact resource hash and row counts are recorded in docs/sources/alessandria-operational-check-2026-09-09.md.
ancona-combined,ancona,WL-REGIME-L190-2012,listed_and_applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/ancona/evidenza/white-list,landing_page_resolved,2026-09-10,Current official page re-verified 10 September 2026; it exposes a single attachment explicitly covering registered companies and companies requesting registration. The byte-pinned 23-page edition is marked Agg. al 07/09/2026 and yields 577 source-backed observations; exact parser boundaries and anomaly handling are documented in docs/sources/ancona-operational-check-2026-09-10.md.
aosta-applicants,aosta,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://www.regione.vda.it/prefettura/Antimafia/white_list/elenco_imprese_richiedenti_i.aspx,direct_series_page_resolved,2026-09-10,Official Valle d'Aosta Prefecture service publishes a dedicated applicant page linking the current mutable PDF attachment; current bytes and parser boundary are documented in docs/sources/aosta-operational-check-2026-09-10.md.
aosta-listed,aosta,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://www.regione.vda.it/prefettura/Antimafia/white_list/elenco_imprese_white_list_i.aspx,direct_series_page_resolved,2026-09-10,Official Valle d'Aosta Prefecture service publishes a dedicated registered-company page linking the current mutable PDF attachment; current bytes and parser boundary are documented in docs/sources/aosta-operational-check-2026-09-10.md.
arezzo-applicants,arezzo,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/arezzo/iscrizione-white-list,direct_series_page_resolved,2026-09-10,Direct official registration page verified 10 September 2026; current applicant population is a dedicated DOCX table. Exact byte identity and parser boundary are documented in docs/sources/arezzo-operational-check-2026-09-10.md.
arezzo-listed,arezzo,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/arezzo/iscrizione-white-list,direct_series_page_resolved,2026-09-10,Direct official registration page verified 10 September 2026; current listed population is an XLSX with ten White List sections. Exact byte identity and parser boundary are documented in docs/sources/arezzo-operational-check-2026-09-10.md.
ascoli-piceno-applicants,ascoli-piceno,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/ascoli-piceno/elenco-iscritti-white-list,direct_series_page_resolved,2026-09-10,Current official page re-verified 10 September 2026; applicant PDF explicitly states Aggiornato al 11/08/2026 and contains 57 companies each with ESITO: istruttoria.
ascoli-piceno-listed-by-sector,ascoli-piceno,WL-REGIME-L190-2012,listed,per_sector,sector_specific_attachments,https://prefettura.interno.gov.it/it/prefetture/ascoli-piceno/elenco-iscritti-white-list,direct_series_page_resolved,2026-09-10,Ten section-specific registered-company PDFs are exposed alongside the comprehensive all-sections PDF. They are retained as source-series evidence but are not independently ingested while the comprehensive current edition is available preventing duplicate listed observations.
ascoli-piceno-listed-comprehensive,ascoli-piceno,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/ascoli-piceno/elenco-iscritti-white-list,direct_series_page_resolved,2026-09-10,Current official page re-verified 10 September 2026; comprehensive all-sections registered-company PDF explicitly states Aggiornato al 11/08/2026. It is the publication input and yields 544 observations. Ten sector-specific PDFs remain alternate manifestations and are not separately ingested to avoid duplication.
asti-applicants,asti,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/asti/white-list-provinciali,direct_series_page_resolved,2026-09-10,"Current official provincial page verified 10 September 2026 explicitly labels the applicant-company PDF as updated 3 August 2026. Exact source identity, raw anomalies and parser boundary are documented in docs/sources/asti-operational-check-2026-09-10.md."
asti-listed,asti,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/asti/white-list-provinciali,direct_series_page_resolved,2026-09-10,"Current official provincial page verified 10 September 2026 explicitly labels the registered-company PDF as updated 3 August 2026. Exact source identity, exceptions and parser boundary are documented in docs/sources/asti-operational-check-2026-09-10.md."
avellino-applicants,avellino,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/avellino/white-list-elenco-imprese-richiedenti,direct_series_page_resolved,2026-09-10,Dedicated applicant-company page verified directly on 10 September 2026; current official PDF is dated 1 September 2026 and byte/parser evidence is recorded in docs/sources/avellino-operational-check-2026-09-10.md.
avellino-listed,avellino,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/avellino/white-list-elenco-imprese-iscritte,direct_series_page_resolved,2026-09-10,Dedicated registered-company page verified directly on 10 September 2026; current official PDF is dated 1 September 2026 and byte/parser evidence is recorded in docs/sources/avellino-operational-check-2026-09-10.md.
bari-applicants,bari,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/bari/evidenza/white-list,landing_page_resolved,2026-09-10,Current applicant attachment explicitly labelled 31 August 2026; 605 source-backed pending observations; one sectorless row preserved without inference.
bari-listed,bari,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/bari/evidenza/white-list,landing_page_resolved,2026-09-10,"Current listed/permanence attachment explicitly labelled 31 August 2026; exact byte identity, denominator and extraction exceptions documented in Bari operational check."
barletta-andria-trani-applicants,barletta-andria-trani,WL-REGIME-L190-2012,applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/barletta-andria-trani/white-list-elenco-imprese-richiedenti-liscrizione,direct_series_page_resolved,2026-09-11,Dedicated current official applicant page and attachment reverified 11 September 2026; the in-document title positively identifies the applicant population and the parser yields 81 observations. Exact evidence is documented in docs/sources/barletta-andria-trani-operational-check-2026-09-11.md.
barletta-andria-trani-listed,barletta-andria-trani,WL-REGIME-L190-2012,listed,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/barletta-andria-trani/white-list-elenco-imprese-iscritte,direct_series_page_resolved,2026-09-11,"Dedicated current official registered-company page and attachment reverified 11 September 2026. Byte identity, 1,013 source-sector-row denominator, 493 grouped public observations and reviewed exceptions are documented in docs/sources/barletta-andria-trani-operational-check-2026-09-11.md."
belluno-combined,belluno,WL-REGIME-L190-2012,listed_and_applicant,all,periodic_attachment,https://prefettura.interno.gov.it/it/prefetture/belluno/evidenza/white-list,landing_page_resolved,2026-09-10,Official landing page re-resolved on 10 September 2026 to a single combined PDF explicitly dated 2 September 2026. The byte-pinned 44-page attachment has 402 source rows: 392 listed-population rows and 10 rows explicitly in fase istruttoria. Exact parser boundaries and conservative anomaly handling are documented in docs/sources/belluno-operational-check-2026-09-10.md.
